_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode
{'$oid': '5e9f18bfbe37ce3e45b6a77f'},511111914549,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5e9f12f5be37ce3e45b6a77e'}}",PopUp Brand A,,
{'$oid': '592486bee410d61fcea3d133'},511111400769,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",MAGNUM Ice Cream,False,MAGNUM Ice Cream
{'$oid': '5d66d71fa3a018093ab34728'},511111105329,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",Elegant Homes Magazine,,511111105329
{'$oid': '5f493e72be37ce64d0ae36c6'},511111316114,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f493e72be37ce64d0ae36c2'}}",test brand @1598635634882,,TEST BRANDCODE @1598635634882
{'$oid': '5f4936ddbe37ce52f8314fd9'},511111315957,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4936dcbe37ce52f8314fd8'}}",test brand @1598633693011,,
{'$oid': '57ebc2e7e4b0ac389136a34b'},511111201915,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Taco Bell,False,TACO BELL
{'$oid': '5fd2a0aebe37ce49eb72c0ee'},511111518112,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd2a0aebe37ce49eb72c0ed'}}",test brand @1607639214411,False,
{'$oid': '5dc03596a60b873d6b0666cd'},511111506249,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",Frosted Cheerios™,,FROSTED CHEERIOS
{'$oid': '5f494c5f04db711dd8fe87e6'},511111916161,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f494c5d04db711dd8fe87e2'}}",test brand @1598639199674,,TEST BRANDCODE @1598639199674
{'$oid': '5332f772e4b03c9a25efd125'},511111103653,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",Gold Medal,,
{'$oid': '59dfaad1e4b0a56a2fa69abc'},511111100621,Baking,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",GODIVA Instant Pudding Mix,False,GODIVA DRY PACKAGED DESSERTS
{'$oid': '5daf33e71dda2c3e1416ae93'},511111305910,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",LÄRABAR™,,LARABAR
{'$oid': '5f35a0babe37ce6853cff1ff'},511111115366,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f35a0babe37ce6853cff1fd'}}",test brand @1597350074333,,TEST BRANDCODE @1597350074333
{'$oid': '5fd29590be37ce38bbbefb28'},511111718079,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd29590be37ce38bbbefb25'}}",test brand @1607636368717,False,TEST BRANDCODE @1607636368717
{'$oid': '5fd3acb6be37ce0d9386bb40'},511111818182,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",test brand @1607707830095,False,TEST BRANDCODE @1607707830095
{'$oid': '5bd200a6965c7d66d92731ea'},511111504627,Household,,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",Cottonelle,False,COTTONELLE
{'$oid': '585a9675e4b03e62d1ce0e7f'},511111301691,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Izze,False,IZZE
{'$oid': '5887a17ee4b02187f85cdad3'},511111101178,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Mio,False,MIO
{'$oid': '5332f765e4b03c9a25efd11f'},511111503699,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Glaceau vitaminwater,,
{'$oid': '5d66d94d6d5f3b6188d4f04b'},511111505365,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",Magnolia Journal Magazine,,511111505365
{'$oid': '5d66d2fd6d5f3b6188d4f045'},511111405252,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",American Patchwork & Quilting Magazine,,QUILTING SPECIAL EDITION
{'$oid': '5332f5f3e4b03c9a25efd0ad'},511111104025,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",Gree Giant,,
{'$oid': '5fa1c567be37ce402c4618f1'},511111317203,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa1c567be37ce402c4618ef'}}",test brand @1604437351617,False,TEST BRANDCODE @1604437351617
{'$oid': '5a5d1e76e4b0db471c2d0425'},511111900337,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Herman Joseph's,,HERMAN
{'$oid': '55b630d9e4b0d8e685c1421f'},511111302629,,,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",Sundrop,,
{'$oid': '5d602d9d6d5f3b23d1bc7907'},511111704935,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Kevita Sparkling Drinks,,KEVITA
{'$oid': '57ebbf75e4b0ac389136a32f'},511111902188,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Delimex,False,DELIMEX
{'$oid': '5d2f68d96d5f3b107e208da4'},511111004844,Personal Care,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",THE RIGHT TO SHOWER,,THE RIGHT TO SHOWER
{'$oid': '592486bde410d61fcea3d124'},511111100904,Personal Care,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",CARESS,False,CARESS
{'$oid': '5f16f536be37ce2b30061e27'},511111115083,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f16f535be37ce2b30061e24'}}",test brand @1595340086044,,TEST BRANDCODE @1595340086044
{'$oid': '5332f6ede4b03c9a25efd0e5'},511111603870,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f6ede4b03c9a25efd0e6'}}",Blue Bunny,,
{'$oid': '5332fa05e4b03c9a25efd1d6'},511111103141,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",Krave,,
{'$oid': '5f3d6f44be37ce4ddbb1bb3e'},511111315513,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3d6f44be37ce4ddbb1bb3a'}}",test brand @1597861700968,,TEST BRANDCODE @1597861700968
{'$oid': '5c76d3cd95144c5375687b4f'},511111106876,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '5c76d20595144c5375687b4e'}}",DASH-2249 Brand1,True,TEST BRAND CODE
{'$oid': '5f3ff223be37ce1c81aa1e11'},511111115649,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1598026275245,,TEST BRANDCODE @1598026275245
{'$oid': '5a8c36dbe4b0ccf165fac9e9'},511111204206,Canned Goods & Soups,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Swanson,False,SWANSON
{'$oid': '55b630e1e4b0d8e685c14220'},511111102618,,,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",A&W Rootbeer,,
{'$oid': '5f3ff222be37ce1c81aa1e0f'},511111415626,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3ff222be37ce1c81aa1e0c'}}",test brand @1598026274668,,TEST BRANDCODE @1598026274668
{'$oid': '5c76db7295144c5375687b50'},511111306887,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '5c76d20595144c5375687b4e'}}",DASH-2249 Brand2,False,DASH-2249 1
{'$oid': '5da609991dda2c3e1416ae90'},511111805854,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",ONE A DAY® WOMENS,False,511111805854
{'$oid': '5afda575e4b0c11cfecd49f9'},511111104537,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Kettle Brand,False,KETTLE BRAND
{'$oid': '5ab154dde4b0915382df761f'},511111404392,Canned Goods & Soups,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Campbell's Soup at Hand,False,CAMPBELLS SOUP AT HAND 
{'$oid': '5f3e9195be37ce5a0e01b960'},511111615583,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9195be37ce5a0e01b95f'}}",test brand @1597936021514,,
{'$oid': '5fb82faebe37ce522e165ce9'},511111117841,Grocery,GROCERY,"{'$ref': 'Cogs', '$id': {'$oid': '5fb6b608be37ce522e165cb9'}}",Rainbo,False,RAINBO
{'$oid': '57e58157e4b0ac389136a30a'},511111602279,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Crispin Cider Company,False,CRISPIN
{'$oid': '5fd3acb6be37ce0d9386bb41'},511111318194,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",test brand @1607707830137,False,TEST BRANDCODE @1607707830137
{'$oid': '5e90a545ee7f2d70340f40d7'},511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",Claritin®,False,CLARITIN®
{'$oid': '5daf5e94a60b87376833e362'},511111706045,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",Cookie Crisp™,,COOKIE CRISP
{'$oid': '5fb2852cbe37ce522e165caf'},511111717317,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",test brand @1605535020441,False,TEST BRANDCODE @1605535020442
{'$oid': '5332f743e4b03c9a25efd109'},511111903789,Snacks,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",Keebler,,
{'$oid': '5fa98944be37ce239d107100'},511111417262,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070ff'}}",test brand @1604946244750,False,TEST BRANDCODE @1604946244750
{'$oid': '5afda65de4b0c11cfecd49fb'},511111004561,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",SNYDERS OF HANOVER,False,SNYDERS OF HANOVER
{'$oid': '5332fa7ee4b03c9a25efd230'},511111702894,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Powerade,,
{'$oid': '57ebbfafe4b0ac389136a332'},511111002154,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Good Seasons,False,GOOD SEASONS
{'$oid': '5f493682be37ce52f8314fce'},511111115922,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f493682be37ce52f8314fcb'}}",test brand @1598633602279,,TEST BRANDCODE @1598633602279
{'$oid': '57ace91ae4b057c992a316ac'},511111602552,,,"{'$ref': 'Cpgs', '$id': {'$oid': '57ace90fe4b057c992a316ab'}}",Pizza Pizza Pizza,,
{'$oid': '5a5d2431e4b06ba572cf24a1'},511111200246,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Revolver,,REVOLVER
{'$oid': '57e5810ce4b0ac389136a307'},511111802280,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",Keystone Light,False,KEYSTONE LIGHT
{'$oid': '5332f5f2e4b03c9a25efd0ab'},511111604037,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ac'}}",Our Family,,
{'$oid': '5db9f9cca60b87376833e36b'},511111806226,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",Fruit Roll-Ups™,,BETTY CROCKER FRUIT ROLL UPS
{'$oid': '5fd2a0c0be37ce49eb72c0f4'},511111118169,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1607639232356,False,TEST BRANDCODE @1607639232356
{'$oid': '5aa1b41de4b086c8aad5e096'},511111304265,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",MOMOFUKU Sauce,False,MOMOFUKU
{'$oid': '592486bee410d61fcea3d136'},511111500735,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",POPSICLE,False,POPSICLE
{'$oid': '5332f603e4b03c9a25efd0be'},511111103936,Beverages,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Mug Root Beer,False,MUG Root Beer
{'$oid': '5afda699e4b0c11cfecd49fd'},511111704584,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Tom's,False,TOMS
{'$oid': '5fc54c0bbe37ce1911dbb3b5'},511111017899,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fc54c0abe37ce1911dbb3b1'}}",test brand @1606765579244,False,TEST BRANDCODE @1606765579244
{'$oid': '5f358338be37ce443bf9d55b'},511111715320,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",test brand @1597342520305,,TEST BRANDCODE @1597342520305
{'$oid': '592486bfe410d61fcea3d137'},511111000723,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",PROMISE,,PROMISE
{'$oid': '5a4d2295e4b0d5c3fd86b679'},511111200529,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",OFF THE EATEN PATH,,OFF THE EATEN PATH
{'$oid': '5f628216be37ce78e6e2efaf'},511111116684,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1600291350125,,TEST BRANDCODE @1600291350125
{'$oid': '5332f9fce4b03c9a25efd1cd'},511111003199,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",Honey Smacks,,
{'$oid': '5f9770bfbe37ce03d08a2d85'},511111117070,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f9770bfbe37ce03d08a2d83'}}",test brand @1603760319758,,TEST BRANDCODE @1603760319758
{'$oid': '57ebc293e4b0ac389136a345'},511111301974,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Nancy's,False,NANCY'S
{'$oid': '5f513e9ebe37ce21f1287c00'},511111816492,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f513e9ebe37ce21f1287bff'}}",test brand @1599159966676,,
{'$oid': '5332f7b8e4b03c9a25efd145'},511111903413,,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",Stella Artois,,
{'$oid': '5ab153fee4b0915382df761e'},511111704379,Canned Goods & Soups,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Campbell's Chunky Maxx,False,CAMPBELLS CHUNKY MAXX
{'$oid': '5aa1b5b9e4b05a92fc9b1631'},511111004288,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",FOOD NETWORK KITCHEN INSPIRATIONS,False,FOOD NETWORK KITCHEN INSPIRATIONS
{'$oid': '5f3e9172be37ce5a0e01b954'},511111215547,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3e9172be37ce5a0e01b952'}}",test brand @1597935986390,,TEST BRANDCODE @1597935986390
{'$oid': '5f4936ddbe37ce52f8314fdc'},511111015970,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4936ddbe37ce52f8314fda'}}",test brand @1598633693744,,TEST BRANDCODE @1598633693744
{'$oid': '57c0829ce4b0718ff5fcb03a'},511111002437,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",Victoria,,
{'$oid': '5a4d244ae4b0bcb2c74ea77f'},511111500506,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",SABRITAS,,SABRITAS
{'$oid': '57ebbfa1e4b0ac389136a330'},511111702177,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Gevalia,False,GEVALIA KAFFE
{'$oid': '5f43faabbe37ce3ef3fd3715'},511111115717,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",test brand @1598290603501,,TEST BRANDCODE @1598290603501
{'$oid': '59d550f4e4b090070b009534'},511111600633,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}","O, That's Good!",False,O THAT'S GOOD
{'$oid': '585a9645e4b03e62d1ce0e79'},511111801757,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Chester's,True,CHESTER'S
{'$oid': '585a968ee4b03e62d1ce0e82'},511111101666,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Miss Vickies,,MISS VICKIE'S
{'$oid': '5d2f6b82a3a01810a2174aed'},511111704867,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",SIR KENSINGTON'S,,SIR KENSINGTON'S
{'$oid': '5fa98944be37ce239d1070fe'},511111217251,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070fd'}}",test brand @1604946244133,False,
{'$oid': '5332f9f2e4b03c9a25efd1c8'},511111803232,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",Crispix,,
{'$oid': '55a41b55e4b0d0a65b3692ef'},511111502708,,,"{'$ref': 'Cpgs', '$id': {'$oid': '55a41b4be4b0d0a65b3692ee'}}",NessAlla,,
{'$oid': '5887a372e4b02187f85cdad9'},511111001119,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Doritos,True,DORITOS
{'$oid': '57ed0697e4b072ac2294b8f2'},511111101895,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",A.1.,True,A.1.
{'$oid': '55b630c2e4b0d8e685c1421d'},511111002642,,,"{'$ref': 'Cpgs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",RC Cola,,
{'$oid': '5332f605e4b03c9a25efd0c0'},511111403913,,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Amp,,
{'$oid': '5f43faabbe37ce3ef3fd3716'},511111315728,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",test brand @1598290603587,,TEST BRANDCODE @1598290603587
{'$oid': '5d66de49a3a018093ab3472a'},511111505433,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Looza Fruit Juices,,LOOZA JUICES
{'$oid': '5da605dc1dda2c3e1416ae83'},511111005582,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",Aleve®,,ALEVE
{'$oid': '5e3876bfee7f2d697e835bd3'},511111613961,Beauty,,"{'$ref': 'Cogs', '$id': {'$oid': '5e28b81cee7f2d697e835bcd'}}",Soft-Sheen Carson - Hair Color,,SOFT-SHEEN CARSON - HAIR COLOR
{'$oid': '5fa98945be37ce239d107104'},511111217305,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1604946245498,False,TEST BRANDCODE @1604946245499
{'$oid': '57ebc11fe4b0ac389136a33a'},511111802075,Baking,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Kraft Caramels,False,
{'$oid': '5f494c5f04db711dd8fe87e5'},511111716150,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f494c5d04db711dd8fe87e2'}}",test brand @1598639199117,,TEST BRANDCODE @1598639199117
{'$oid': '5bd201a990fa074576779a19'},511111104698,Baby,,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",Pull-Ups,False,PULL UPS
{'$oid': '5fb2852cbe37ce522e165cb1'},511111417330,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",test brand @1605535020629,False,TEST BRANDCODE @1605535020629
{'$oid': '5332f60ce4b03c9a25efd0c3'},511111303893,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Brisk Iced Tea,False,BRISK
{'$oid': '5a7e0604e4b0aedb3b84afd3'},511111504139,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",Chris Brand XYZ,,CHRISXYZ
{'$oid': '5332f9f2e4b03c9a25efd1c7'},511111003243,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",All-Bran,,
{'$oid': '57ebbd44e4b0ac389136a32d'},511111002208,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Bull's Eye,False,BULL'S-EYE
